radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,311,480,9729,9882698,0,-122.410665,37.788616,500,132,1,1483139213,1564274597,0
LTE,311,480,9980,262194435,0,-122.44194030762,37.76481628418,1000,5,1,1483267539,1490964586,0
LTE,311,480,9730,86684684,0,-122.415703,37.779922,1000,19,1,1483288684,1492074980,0
LTE,311,480,9728,9871374,0,-122.40760803223,37.79914855957,1000,4,1,1483304772,1488895857,0
LTE,311,480,7683,7790092,0,-122.383914,37.601533,6259,140,1,1483411496,1505837541,0
LTE,311,480,7683,7790081,0,-122.385117,37.600187,1958,33,1,1483411496,1572152740,0
LTE,311,480,9730,9863938,0,-122.445794,37.776598,1000,9,1,1483513759,1492296887,0
LTE,311,480,9730,9863968,0,-122.44783,37.776367,1000,16,1,1483586841,1491995440,0
LTE,311,480,9730,9863958,0,-122.443623,37.776698,1000,41,1,1483586841,1491995440,0
LTE,311,480,9728,9894670,0,-122.407883,37.793655,1000,5,1,1483589147,1487186334,0
LTE,311,480,9728,9731874,0,-122.40211486816,37.795028686523,1000,4,1,1483694758,1487908615,0
LTE,311,480,9728,86585642,0,-122.396926,37.786724,1000,52,1,1483889435,1505312233,0
LTE,311,480,9728,9899602,0,-122.4044,37.788058,1000,17,1,1484028359,1505316252,0
LTE,311,480,9731,161305859,0,-122.49463,37.704584,7346,4,1,1484191535,1505838270,0
LTE,311,480,9729,9893134,0,-122.391815,37.76516,1000,8,1,1484271999,1492458521,0
LTE,311,480,9729,9739032,0,-122.391297,37.756833,1000,51,1,1484396742,1505971553,0
LTE,311,480,9729,9739042,0,-122.391393,37.761225,1000,26,1,1484396742,1492016015,0
LTE,311,480,9729,9739040,0,-122.392063,37.760617,1976,61,1,1484432898,1505962041,0
LTE,311,480,9729,9739030,0,-122.391291,37.756772,1543,104,1,1484432897,1505315945,0
LTE,311,480,9731,9983244,0,-122.477035,37.726807,1000,4,1,1484582341,1505684334,0
LTE,311,480,9729,9740312,0,-122.405187,37.731983,1563,36,1,1484802866,1505971441,0
LTE,311,480,9729,9740302,0,-122.405849,37.740998,1000,32,1,1484802866,1492187655,0
LTE,311,480,9729,9739020,0,-122.388986,37.762894,1000,25,1,1484876984,1492042307,0
LTE,311,480,9730,86684686,0,-122.415848,37.780266,1000,8,1,1485014781,1492074980,0
LTE,311,480,9729,9739022,0,-122.384606,37.776146,2487,4,1,1485122784,1488835912,0
LTE,311,480,9729,9740322,0,-122.413569,37.733293,1000,44,1,1485205602,1492341859,0
LTE,311,480,9728,9813006,0,-122.402333,37.785367,1000,33,1,1485314277,1505405345,0
LTE,311,480,7683,7757602,0,-122.491723,37.707825,1566,4,1,1485402351,1491075580,0
LTE,311,480,9728,86699604,0,-122.399672,37.784014,1000,5,1,1485419152,1505433524,0
LTE,311,480,9730,9795854,0,-122.423101,37.770213,1000,71,1,1485494724,1492466390,0
LTE,311,480,9730,9795864,0,-122.428997,37.761515,1236,47,1,1485494724,1492335184,0
LTE,311,480,9728,86669640,0,-122.40723,37.798938,1000,9,1,1485654453,1572149382,0
LTE,311,480,7683,7757582,0,-122.468834,37.704978,1000,22,1,1485683195,1505968707,0
LTE,311,480,9728,86702350,0,-122.402768,37.783354,1000,3,1,1485857244,1505420602,0
LTE,311,480,9729,9741590,0,-122.39112854004,37.716751098633,1000,3,1,1485859224,1489475777,0
LTE,311,480,9733,86610238,0,-122.429538,37.740639,3208,6,1,1486361471,1505439072,0
LTE,311,480,7683,7757592,0,-122.478965,37.671733,1257,16,1,1486611768,1505673987,0
LTE,311,480,9729,86683730,0,-122.403952,37.785309,9607,28,1,1486797857,1505957582,0
LTE,311,480,9730,86544290,0,-122.43679,37.751083,1000,4,1,1486884020,1491683047,0
LTE,311,480,9728,9883682,0,-122.40997,37.787057,500,297,1,1487133902,1505957212,0
LTE,311,480,9728,9883680,0,-122.409973,37.787052,752,359,1,1487302952,1505957058,0
LTE,311,480,9728,9883651,0,-122.408541,37.78757,1000,3,1,1487302952,1505326822,0
LTE,311,480,9733,86584618,0,-122.41485,37.775139,1714,5,1,1487465183,1505264852,0
LTE,311,480,9728,9883670,0,-122.410874,37.78581,1000,23,1,1487744748,1505957073,0
LTE,311,480,9728,9883650,0,-122.409381,37.785193,1000,7,1,1487765469,1505308228,0
LTE,311,480,9729,86683742,0,-122.409039,37.785724,1000,19,1,1488052519,1505957292,0
LTE,311,480,9729,86683732,0,-122.397844,37.786519,9054,11,1,1488090966,1505957509,0
LTE,311,480,9728,9883660,0,-122.406867,37.785471,1000,37,1,1488159820,1505363783,0
LTE,311,480,9729,86683740,0,-122.40892,37.785442,1000,39,1,1488159820,1558920143,0
LTE,311,480,9728,9971746,0,-122.406191,37.789031,1000,4,1,1488375953,1505413173,0
LTE,311,480,9728,9971744,0,-122.405636,37.78921,1000,10,1,1488375953,1505413226,0
LTE,311,480,9729,86683720,0,-122.408424,37.786351,1000,13,1,1488960515,1505957398,0
LTE,311,480,9729,86683722,0,-122.408338,37.786607,1000,9,1,1489108059,1568684141,0
LTE,311,480,9728,9883672,0,-122.411068,37.786047,1000,18,1,1489108059,1505957288,0
LTE,311,480,9729,86692108,0,-122.38975524902,37.773056030273,1000,5,1,1489207537,1492024069,0
LTE,311,480,9732,9908512,0,-122.391525,37.778356,1000,3,1,1489542572,1505422641,0
LTE,311,480,9733,86584580,0,-122.409402,37.782493,1583,4,1,1489634739,1505432117,0
LTE,311,480,9730,86684754,0,-122.414514,37.778453,1000,4,1,1490318017,1505363908,0
LTE,311,480,9728,9982988,0,-122.405594,37.783812,1000,5,1,1490825199,1505427378,0
LTE,311,480,9730,86684756,0,-122.414436,37.77849,1000,3,1,1491439944,1505317148,0
LTE,311,480,9728,9904672,0,-122.395583,37.792719,1000,30,1,1491714338,1505345193,0
LTE,311,480,7,787,-1,-122.403694,37.792163,1000,3,1,1505408353,1561089839,0
LTE,311,480,7,841,-1,-122.438228,37.784341,1000,3,1,1505422892,1561174052,0
LTE,311,480,7,367,-1,-122.395394,37.625394,4062,5,1,1505434740,1561079809,0
LTE,311,480,7,389,-1,-122.391121,37.611861,1000,3,1,1505446568,1561079744,0
